Data tragerii->,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
605,14,40,23,28,47,12
606,25,28,2,14,4,43
607,39,14,24,44,20,37
608,3,28,39,27,5,7
609,15,19,13,3,44,5
610,2,17,15,12,14,23
611,37,27,43,4,38,39
612,41,9,5,45,34,1
613,44,36,29,25,34,14
614,7,26,5,48,49,25
615,29,12,23,42,27,10
616,13,42,40,14,37,23
617,46,28,48,7,3,14
618,46,29,3,33,40,26
619,46,3,18,16,48,32
620,40,12,29,16,48,47
621,21,41,1,26,7,29
622,49,33,23,16,10,7
623,41,13,27,48,23,29
624,32,3,7,40,37,14
625,45,12,26,11,44,37
626,46,20,37,25,32,8
627,49,24,47,18,40,10
628,44,38,10,11,24,21
629,19,42,41,18,34,28
630,10,8,6,4,42,48
631,42,24,16,48,5,4
632,18,17,28,39,15,43
633,8,2,32,9,39,6
634,7,2,13,19,46,24
635,46,38,39,22,3,5
636,7,31,9,13,8,3
637,8,40,30,35,18,7
638,25,20,11,49,34,27
639,49,8,48,5,11,19
640,40,33,36,35,43,4
641,10,12,27,49,15,21
642,20,16,13,35,25,19
643,30,24,23,29,41,18
644,5,37,35,3,31,49
645,2,43,26,16,38,32
646,10,29,37,49,26,42
647,12,36,34,38,41,40
648,22,8,27,3,41,11
649,25,10,8,44,23,28
650,45,6,24,5,39,44
651,6,11,32,17,15,7
652,47,34,38,9,39,30
653,22,32,33,41,44,19
654,26,10,20,41,16,13
655,7,39,31,12,25,35
656,15,23,18,34,11,41
657,6,39,42,5,34,13
658,36,13,19,37,27,38
659,36,24,21,22,31,35
660,28,26,9,2,48,5
661,28,42,8,1,25,46
662,35,33,27,10,46,43
663,10,43,9,20,21,44
664,42,44,19,28,26,13
665,22,40,10,7,14,11
666,1,23,18,49,42,29
667,32,17,7,48,46,27
668,17,8,27,38,29,25
669,10,24,6,3,8,14
670,39,35,38,10,4,43
671,17,48,40,23,36,2
672,21,38,26,24,12,20
673,18,40,5,46,49,23
674,9,32,17,6,41,11
675,10,28,6,30,11,33
676,20,4,25,23,26,34
677,16,35,37,27,5,18
678,2,12,27,15,16,9
679,48,39,21,27,30,9
680,39,31,24,38,3,43
681,14,43,10,45,30,6
682,47,31,8,36,26,27
683,44,48,21,10,27,17
684,19,18,31,10,5,17
685,48,2,16,33,45,41
686,45,49,12,40,10,41
687,21,41,31,14,2,43
688,13,35,18,28,10,47
689,31,20,9,25,15,2
690,7,18,22,30,33,12
691,36,6,29,10,20,23
692,25,27,9,13,37,7
693,5,18,49,34,31,40
694,22,40,45,5,20,44
695,16,22,18,32,48,1
696,6,41,47,15,2,24
697,24,38,18,6,25,2
698,16,30,2,9,25,1
699,13,21,17,9,42,43
700,30,12,25,10,1,37
701,40,29,2,10,18,37
702,31,3,24,12,23,7
703,44,10,2,6,31,23
704,18,11,29,36,10,35
705,47,45,40,1,30,24
706,17,25,32,29,18,49
707,19,33,39,18,30,26
708,36,27,23,14,38,43
709,24,29,38,5,25,35
710,45,8,12,41,35,30
711,33,39,46,4,26,8
712,3,21,40,26,16,15
713,39,41,28,1,45,4
714,13,4,35,19,10,7
715,40,22,13,4,42,9
716,23,35,40,6,14,16
717,42,37,2,24,16,6
718,6,2,4,7,12,39
719,21,9,31,18,41,16
720,47,30,44,39,3,31
721,41,23,20,37,36,43
722,49,42,34,28,11,37
723,9,19,25,2,39,38
724,10,45,33,29,25,44
725,23,8,19,11,31,33
726,17,29,44,49,30,26
727,36,14,40,19,15,28
728,14,43,7,40,37,36
729,41,46,28,24,26,47
730,13,44,12,45,6,2
731,4,9,21,35,7,32
732,48,33,5,45,29,49
733,18,44,15,40,30,12
734,22,47,34,29,10,9
735,30,21,43,8,23,7
736,8,3,10,5,25,2
737,29,3,27,33,38,31
738,21,5,13,10,47,36
739,35,24,10,48,28,40
740,21,33,36,14,2,35
741,16,48,25,21,24,20
742,5,16,12,36,32,1
743,4,31,38,2,22,12
744,13,19,42,27,46,25
745,48,39,27,4,26,21
746,14,26,12,5,4,7
747,32,12,6,9,42,48
748,6,45,38,44,39,10
749,5,7,13,22,2,36
750,49,22,33,13,28,30
751,27,47,48,7,21,41
752,1,41,36,8,32,20
753,5,1,24,48,33,41
754,41,31,38,18,49,32
755,36,37,17,29,13,34
756,42,49,47,39,41,17
757,26,47,32,3,44,15
758,5,19,29,4,32,17
759,6,41,33,17,2,13
760,24,42,2,20,46,26
761,21,48,44,28,25,8
762,49,35,20,40,41,24
763,8,21,3,37,38,46
764,30,44,49,40,33,24
765,6,49,48,44,26,27
766,38,17,36,37,44,25
767,2,12,22,39,6,24
768,28,36,18,40,6,39
769,44,32,30,39,13,35
770,29,5,24,27,16,14
771,37,44,6,32,31,38
772,38,10,26,36,13,23
773,3,20,18,9,46,47
774,36,31,9,18,4,10
775,26,24,49,1,6,22
776,31,27,6,19,35,29
777,15,21,10,47,4,38
778,36,10,14,6,20,11
779,25,11,27,17,33,26
780,14,30,1,10,2,15
781,39,43,29,20,32,30
782,22,28,37,39,12,34
783,42,37,12,49,35,6
784,29,7,6,4,39,20
785,31,41,39,15,17,47
786,38,17,47,25,30,37
787,6,7,30,17,2,42
788,44,20,17,3,38,45
789,42,30,36,5,4,6
790,5,14,7,49,35,19
791,42,28,41,15,22,38
