Round,Nr.1,Nr.2,Nr.3,Nr.4,Nr.5,Nr.6
572,15,23,9,29,27,5
573,24,1,18,29,37,3
574,29,32,27,19,24,36
575,3,10,4,12,21,39
576,27,3,32,8,38,15
577,1,31,30,18,17,39
578,31,37,25,5,6,28
579,29,30,23,15,31,24
580,5,12,10,6,36,15
581,19,23,38,11,10,9
582,39,32,36,21,34,9
583,14,35,39,31,27,28
584,18,14,32,28,33,3
585,16,10,19,17,31,1
586,35,21,29,30,11,28
587,9,13,30,5,21,14
588,3,20,8,30,15,28
589,8,12,25,19,32,10
590,2,19,33,24,20,17
591,23,17,28,14,33,8
592,35,8,31,38,19,23
593,27,10,15,26,17,34
594,24,23,9,34,7,14
595,3,22,35,17,32,33
596,20,9,39,27,21,14
597,14,35,12,4,24,21
598,28,31,3,4,1,8
599,26,17,21,1,33,9
600,3,5,32,20,4,23
601,24,7,38,32,22,30
602,19,3,21,23,40,38
603,14,11,27,2,22,38
604,15,29,26,20,9,27
605,3,39,1,5,28,17
606,26,12,34,7,36,21
607,13,15,40,7,18,1
608,36,6,18,13,8,38
609,36,12,20,27,40,11
610,21,6,16,31,25,8
611,31,16,20,32,9,23
612,23,14,33,13,5,11
613,18,12,24,8,26,16
614,13,21,26,23,9,20
615,2,37,33,36,22,1
616,34,13,27,23,17,20
617,8,20,30,24,21,1
618,26,21,23,12,14,19
619,9,38,24,39,19,16
620,21,9,3,30,1,23
621,26,32,33,13,22,1
622,19,26,34,29,40,37
623,21,32,38,20,5,22
624,7,8,6,32,28,23
625,25,29,3,35,10,18
626,25,36,38,31,32,3
627,2,24,31,10,18,5
628,9,5,6,35,19,13
629,34,6,10,36,20,16
630,7,23,29,1,2,5
631,12,40,37,19,23,35
632,11,3,10,7,33,32
633,38,9,21,19,14,23
634,35,39,31,27,24,12
635,14,35,3,21,38,11
636,37,22,10,8,25,28
637,30,4,2,29,23,11
638,3,18,26,17,20,24
639,36,7,30,8,28,10
640,12,8,7,19,29,2
641,31,9,8,37,18,21
642,26,18,39,31,29,22
643,1,12,15,2,34,11
644,3,30,24,10,18,38
645,14,12,23,28,40,24
646,10,14,9,33,4,32
647,6,26,17,13,34,30
648,37,20,9,26,14,8
649,9,31,36,16,13,15
650,25,6,38,14,33,27
651,33,6,27,12,13,10
652,27,20,3,7,25,30
653,21,33,28,34,19,40
654,28,9,6,7,3,12
655,1,6,25,10,11,5
656,6,34,7,16,22,12
657,16,38,10,17,36,21
658,3,24,9,4,1,14
659,37,13,31,2,27,38
660,20,12,24,7,23,26
661,6,25,24,36,37,30
662,32,36,18,5,19,26
663,9,12,38,15,1,2
664,33,22,1,24,36,17
665,13,11,7,18,24,33
666,9,31,32,18,6,11
667,32,16,4,36,24,27
668,4,21,17,31,15,36
669,24,25,39,32,22,20
670,33,24,4,36,10,13
671,7,1,24,23,30,26
672,28,39,38,16,25,13
673,13,20,18,2,33,31
674,40,11,4,31,15,25
675,15,3,1,12,34,22
676,30,8,17,29,11,23
677,25,7,16,1,2,14
678,3,29,6,34,18,24
679,3,11,30,5,38,19
680,12,15,25,14,5,11
681,24,10,6,1,2,33
682,17,39,20,23,4,27
683,26,13,25,21,7,34
684,36,27,32,8,28,25
685,19,11,6,13,27,22
686,34,29,10,19,23,1
687,30,13,5,38,20,14
688,13,21,2,11,26,38
689,38,29,37,36,15,33
690,13,19,25,10,4,2
691,3,17,31,39,28,24
692,27,3,10,22,19,9
693,22,11,33,8,1,20
694,35,39,21,19,40,6
695,33,8,12,23,22,32
696,15,10,24,40,1,32
697,12,33,32,37,16,11
698,20,36,12,32,24,30
699,37,21,12,34,27,32
700,9,33,5,14,40,16
701,12,27,1,18,20,30
702,28,34,7,38,4,11
703,4,13,18,9,37,26
704,20,6,35,17,10,28
705,21,40,11,5,22,18
706,23,29,9,22,10,3
707,39,8,34,6,38,23
708,29,5,8,1,24,38
709,38,20,22,29,25,17
710,30,35,22,29,13,36
711,24,36,9,29,32,13
712,12,20,17,18,2,30
713,38,21,28,32,1,5
714,21,20,23,17,18,38
715,6,11,28,2,39,14
716,2,31,19,26,5,10
717,34,1,40,35,30,16
718,37,19,30,12,26,9
719,40,1,18,33,9,26
720,16,38,23,34,15,4
721,6,35,24,9,14,34
722,40,14,34,24,26,21
723,28,1,27,8,30,33
724,25,2,21,35,38,22
725,28,7,8,32,23,38
726,30,33,18,39,27,8
727,29,38,31,30,39,25
728,36,33,32,18,29,12
729,6,11,29,4,9,10
730,3,32,25,27,10,8
731,20,23,14,12,33,26
732,22,31,10,15,4,9
733,3,21,6,38,25,16
734,17,11,40,15,1,28
735,20,28,32,39,30,7
736,6,22,17,12,38,30
737,40,35,34,5,18,1
738,9,1,33,4,23,18
739,23,33,13,6,11,7
740,8,33,31,29,15,39
741,37,38,17,12,32,14
742,12,5,20,33,34,26
743,13,17,29,18,24,36
744,35,17,2,25,9,36
745,39,35,11,8,12,3
746,36,28,8,35,19,18
747,17,9,19,16,25,28
748,25,7,33,18,24,9
749,18,36,13,6,30,11
750,17,38,30,13,24,26
751,22,21,13,10,7,4
752,7,39,37,31,28,3
753,11,33,27,7,32,1
754,7,17,3,2,12,21
755,34,37,28,17,25,22
756,24,14,38,12,25,21
757,21,28,20,6,26,3
758,35,24,33,10,13,12
759,27,28,9,4,21,3
760,24,5,16,23,38,22
761,8,20,2,17,3,24
762,17,37,23,5,19,34
763,35,15,19,28,4,31
764,27,23,12,18,1,37
765,23,19,16,17,34,10
766,31,1,7,16,17,15
767,19,21,16,3,35,17
768,4,5,13,24,16,25
769,35,28,21,24,13,12
770,4,2,17,8,40,26
771,14,33,18,25,19,4
772,18,19,15,10,21,9
773,27,16,4,15,19,11
774,28,5,27,12,14,13
775,30,14,19,32,2,23
776,39,38,15,34,33,26
777,32,38,25,39,6,29
778,18,8,3,21,6,12
779,38,36,7,4,40,39
780,13,4,5,6,27,16
781,25,7,39,38,4,21
782,38,25,36,18,6,28
783,40,19,36,3,25,33
784,31,27,19,12,38,13
785,15,24,10,5,23,20
786,20,22,38,17,28,35
787,21,14,34,7,19,18
788,29,21,40,3,32,8
789,20,23,29,12,34,10
790,3,26,30,33,35,11
791,31,28,8,30,11,37
792,29,38,10,4,9,25
793,10,5,32,15,12,4
794,4,1,24,13,5,9
795,7,10,16,6,11,34
796,14,22,27,40,31,8
797,39,11,20,3,16,40
798,11,15,26,18,28,3
799,17,4,2,35,36,31
800,16,27,1,6,25,38
801,13,19,7,21,37,12
802,1,22,31,24,16,14
803,23,25,4,7,39,31
804,9,2,13,16,36,6
805,16,22,15,18,10,14
806,33,36,21,8,3,2
807,21,34,24,28,40,32
808,32,28,30,36,16,9
809,11,25,24,39,13,32
810,6,1,28,30,11,26
811,37,12,16,38,34,35
812,38,17,40,31,37,36
813,36,20,1,6,22,24
814,39,23,7,6,3,4
815,22,25,15,9,13,30
816,2,12,11,34,1,10
817,7,27,20,28,12,22
818,35,3,27,14,5,34
819,28,4,10,29,21,16
820,28,9,32,12,5,6
821,15,11,12,39,22,23
822,25,23,39,16,18,40
823,12,2,23,18,4,39
824,24,8,19,31,6,36
825,37,18,11,38,16,20
826,10,30,37,33,20,27
827,23,16,36,29,9,12
828,38,18,40,24,9,19
829,29,25,39,18,28,27
830,34,13,37,1,25,33
831,1,36,14,4,21,5
832,31,36,27,8,30,13
833,33,12,27,25,34,28
834,2,34,28,11,17,32
835,40,20,19,32,36,39
836,3,27,34,31,36,30
837,8,23,24,31,38,7
838,12,19,38,16,33,2
839,32,8,4,18,20,27
840,10,16,12,39,6,33
841,12,10,16,27,33,29
842,37,34,30,13,8,15
843,28,13,7,30,38,21
